brand,current_price,old_price,discount,description,ratings,times_reviewed,rom,ram,battery,camera,sim port,screen_dim,android_ver
Gionee,26800,36800,-27,"P10m 6.088"" Waterdrop Display, (1GB, 16GB ROM) 5MP Selfie/8MP Rear, Android 8.1 (Oreo) Go, Dual SIM, 4000mAh - Black",4.25,20,16.0,1.0,4000.0,5.0,Dual SIM,6.088,8.1
Samsung,159600,234080,-32,"Galaxy A70 6GB+128GB 6.7"" 32MP Triple Cameras Snapdragon 675 Octa Core Fingerprint Unlock 25W Quick Charge 4500mAh-White",4.0,1,128.0,6.0,4500.0,32.0,Dual SIM,6.7,8.1
Tecno,24000,30000,-20,"F1 5-Inch (1GB, 8GB ROM) Android 8 Oreo (Go Edition), 5MP + 2MP Dual SIM 3G Smartphone - Gold",3.8,10,8.0,1.0,4000.0,5.0,Dual SIM,5.0,8.0
Samsung,125000,0,0,"Galaxy A9 6.3-Inch Full HD+ SAMOLED (6GB, 128GB ROM) Android 8.0 Oreo, 24MP + 24MP Dual SIM 4G - Lemonade Blue",5.0,1,128.0,6.0,4000.0,24.0,Dual SIM,6.3,8.0
Samsung,114990,150000,-23,"Galaxy A50 6.4-Inch (4GB,128GB ROM) Android 9 Pie, (25MP+5MP+ 8MP)+ 25MP 4000mAh 4G Dual SIM Smartphone - White",4.5,44,128.0,4.0,4000.0,25.0,Dual SIM,6.4,9.0
Tecno,59000,0,0,"Pouvoir 3 Plus (LB8a), 6.35"", (64GB ROM+ 4GB RAM), Android 9, (13MP + 8MP + 2MP)+8MP, 6000mAh 4G LTE,- Champagne Gold",5.0,1,64.0,4.0,6000.0,13.0,Dual SIM,6.35,9.0
Nokia,36100,54990,-34,"Nokia 5.1 5.5"" Full-HD+ 3GB RAM 32GB ROM 16MP+8MP Smartphone Dual Sim -Copper",3.5,2,32.0,3.0,4000.0,16.0,Dual Sim,5.5,8.1
Gionee,51351,97296,-47,M7 Power 6 Inch 4GB RAM 64GB ROM 13MP+8MP Hybrid Dual SIM Android 7.1 4G LTE Smartphone 5000mAh,4.75,4,64.0,4.0,5000.0,13.0,Dual SIM,6.0,7.1
Samsung,68500,125000,-45,Galaxy S7 Edge 5.5'' QHD(4GB+32GB) 12MP+5MP 4G Smartphone-Black,5.0,2,32.0,4.0,4000.0,12.0,Dual SIM,5.5,8.1
UMIDIGI,30820,61640,-50,"A3 5.5-Inch HD+ Quad Core (2GB+16GB ROM) Android 8.1 Oreo, 12MP + 5MP Dual SIM 4G Smartphone",4.0,1,16.0,2.0,4000.0,12.0,Dual SIM,5.5,8.1
Tecno,39300,0,0,"Spark 3, 6.2-Inch Fullview (16GB ROM + 1GB RAM) Android 8.1 Oreo(Go Edition), (13MP+2MP)+8MP, Face Unlock, 3500mAH Battery Dual SIM 3G Smartphone",4.4,103,16.0,1.0,3500.0,13.0,Dual SIM,6.2,8.1
Gionee,26800,0,0,"P10m 6.088"" Waterdrop Display, (1GB, 16GB ROM) 5MP Selfie/8MP Rear, Android 8.1 (Oreo) Go, Dual SIM, 4000mAh - Gold",4.3,15,16.0,1.0,4000.0,5.0,Dual SIM,6.088,8.1
XIAOMI,69999,149999,-53,Xiaomi Redmi Note 7 4000mAh 6GB+64GB Smartphone Snapdragon 660 Octa Core  48MP Dual Camera Cellphone,4.0,1,64.0,6.0,4000.0,48.0,Dual SIM,5.8,8.1
Infinix,73500,0,0,"S5 6.6-Inch (X652)HD+ Infinity-O Display(64GB ROM, 4GB RAM) (16MP+5MP+2MP+QVGA) (32MP FF) 4000mAh 4G Smartphone",5.0,1,64.0,4.0,4000.0,16.0,Dual SIM,6.6,8.1
Huawei,51900,55000,-6,"Y6 Prime 2019 6.09"" Dewdrop (2GB,32GB ROM) Android 9.0 Pie 13MP + 8MP Dual SIM 4G 3020 MAh- Sapphire Blue",4.4,105,32.0,2.0,3020.0,13.0,Dual SIM,6.09,9.0
